,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6128,3317-VLGQT,0,0,1,0,14,1,0,1,0,0,0,0,0,2,0,1,2,78.1,1122.4,0
870,1937-OTUKY,0,0,1,0,72,1,2,1,2,0,2,2,2,0,2,1,0,98.2,7015.9,0
3091,8189-DUKMV,0,0,1,0,4,1,0,2,1,1,1,1,1,1,1,0,0,20.5,79.05,0
2538,7758-UJWYS,1,0,1,1,34,0,1,0,0,0,0,2,2,0,2,1,2,40.55,1325.85,0
2714,6838-YAUVY,0,0,0,0,54,1,2,1,0,0,2,2,0,2,2,1,0,95.1,5064.85,0
5743,2384-OVPSA,0,1,0,0,38,1,0,2,1,1,1,1,1,1,2,0,3,20.2,735.9,0
1196,0455-ENTCR,1,0,1,0,66,1,2,0,2,2,0,2,2,2,2,0,2,85.25,5538.35,0
3701,3812-LRZIR,0,0,1,1,27,1,2,2,1,1,1,1,1,1,2,0,2,24.5,761.95,0
5673,6260-XLACS,1,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,19.7,117.8,0
4420,1544-JJMYL,1,0,0,0,27,1,0,0,2,0,2,2,2,0,1,0,1,69.35,1927.3,0
740,4381-MHQDC,0,0,0,0,47,1,2,0,2,0,2,2,0,0,2,1,3,65.0,2879.9,0
4604,8065-BVEPF,1,1,0,0,65,1,0,1,0,2,2,0,2,2,0,1,0,99.1,6496.15,0
41,9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0
2807,1015-JPFYW,1,0,0,1,7,1,0,2,1,1,1,1,1,1,1,0,3,19.45,136.75,0
6767,7672-VFMXZ,1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,3171.6,0
5173,2480-SQIOB,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,44.8,169.65,0
6244,5331-RGMTT,1,1,1,0,54,1,2,1,0,0,2,0,2,2,0,1,1,99.05,5295.7,0
3949,4495-LHSSK,0,0,0,1,18,1,2,0,2,0,0,0,0,0,0,0,3,57.65,992.7,0
5818,3197-NNYNB,1,0,0,0,65,1,2,1,0,2,2,0,2,2,2,0,1,105.1,6631.85,0
6923,7619-PLRLP,0,0,1,0,53,1,2,0,2,2,2,0,0,2,1,0,0,74.1,3833.95,0
1151,8992-CEUEN,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,18.85,18.85,0
4599,1834-ABKHQ,0,0,1,1,52,1,0,0,0,0,2,0,0,0,1,1,0,50.95,2610.65,0
68,3170-NMYVV,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0
4030,4256-ZWTZI,0,0,0,1,5,1,0,0,0,0,0,2,0,0,0,1,3,51.0,286.8,0
81,8108-UXRQN,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0
3776,6968-URWQU,1,0,1,0,43,1,0,0,0,0,0,0,2,0,1,1,3,56.35,2391.15,0
3339,8690-ZVLCL,0,0,1,1,68,1,2,0,2,2,2,2,2,2,2,0,1,88.0,6161.9,0
435,2320-SLKMB,0,0,0,0,26,0,1,0,0,0,2,2,2,0,0,1,1,44.45,1183.8,0
4053,7446-YPODE,1,1,0,0,11,1,2,0,2,2,0,0,0,0,0,0,0,60.25,662.95,0
3818,8819-ZBYNA,0,0,1,0,58,1,2,1,2,2,0,2,2,2,2,1,1,109.1,6393.65,0
2188,3689-MOZGR,0,0,0,0,29,0,1,0,0,0,0,2,0,0,0,1,2,31.2,926.2,0
1785,1568-LJSZU,1,0,1,1,68,1,2,0,2,2,2,2,2,2,2,1,1,92.2,6392.85,0
1355,5624-RYAMH,0,0,0,0,9,1,0,2,1,1,1,1,1,1,0,1,2,19.5,178.85,0
1508,2811-POVEX,0,1,1,1,23,1,0,1,0,2,2,0,0,2,0,1,0,88.45,2130.55,0
860,4795-UXVCJ,1,0,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.8,457.3,0
3579,6080-TCMYC,1,0,1,1,40,1,2,1,0,0,2,0,0,0,0,1,2,81.2,3292.3,0
267,3197-ARFOY,0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,2007.25,0
2212,8076-FEZKJ,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,19.5,225.85,0
4915,2436-QBZFP,0,0,1,1,22,0,1,0,0,2,0,0,2,0,0,0,2,39.2,849.9,0
1580,7108-DGVUU,0,1,1,0,21,1,2,0,0,2,2,0,0,2,1,0,0,71.7,1497.05,0
2463,7994-UYIVZ,1,0,1,0,8,1,2,1,0,0,0,0,0,2,0,1,0,85.65,659.45,0
3892,3824-RHKVR,0,0,0,0,17,1,0,2,1,1,1,1,1,1,0,0,1,19.7,340.35,0
5833,4976-LNFVV,1,1,1,0,19,0,1,0,0,2,2,0,0,0,0,1,1,34.3,577.15,0
5510,6693-FRIRW,1,0,0,0,18,1,0,1,0,2,2,0,2,2,0,0,1,101.3,1794.65,0
4889,9746-MDMBK,1,0,1,1,47,1,2,1,2,2,2,2,2,2,1,1,0,113.45,5317.8,0
6213,8999-EXMNO,0,0,1,1,19,1,0,2,1,1,1,1,1,1,2,0,3,20.15,387.7,0
2245,6050-FFXES,0,0,1,0,69,1,2,1,0,0,2,2,2,2,2,0,0,105.35,7240.65,0
5691,5619-XZZKR,1,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,19.95,68.2,0
1084,9170-ARBTB,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,0,1,19.6,1012.4,0
5321,7718-UPSKJ,0,0,1,0,69,1,0,1,2,2,0,2,2,2,1,1,1,106.4,7251.9,0
2147,2023-VQFDL,1,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,2,19.0,348.8,0
5925,1840-BIUOG,1,0,0,0,20,1,2,0,0,2,0,2,2,0,1,1,2,68.7,1416.2,0
5344,6283-GITPX,1,0,0,1,71,1,0,0,2,2,2,2,2,0,2,1,1,76.9,5522.7,0
352,4115-NZRKS,0,1,0,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.15,574.35,0
6014,0956-ACVZC,0,0,0,0,54,1,0,1,0,0,2,0,2,2,1,1,1,94.1,5060.9,0
653,1140-UKVZG,0,0,0,0,17,1,2,2,1,1,1,1,1,1,0,0,3,24.8,475.25,0
6825,5022-KVDQT,1,0,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,81.3,2272.8,0
3405,0744-GKNGE,0,0,1,1,64,1,2,1,2,0,0,2,0,0,0,1,0,86.8,5327.25,0
